Fecha,Indicador,Territorio,Valor
2020-09-13,Casos activos,Colonia,0
2020-09-14,Casos activos,Colonia,0
2020-09-15,Casos activos,Colonia,0
2020-09-16,Casos activos,Colonia,0
2020-09-17,Casos activos,Colonia,0
2020-09-18,Casos activos,Colonia,1
2020-09-19,Casos activos,Colonia,1
2020-09-20,Casos activos,Colonia,1
2020-09-21,Casos activos,Colonia,1
2020-09-22,Casos activos,Colonia,2
2020-09-23,Casos activos,Colonia,7
2020-09-24,Casos activos,Colonia,7
2020-09-25,Casos activos,Colonia,8
2020-09-26,Casos activos,Colonia,13
2020-09-27,Casos activos,Colonia,13
2020-09-28,Casos activos,Colonia,13
2020-09-29,Casos activos,Colonia,16
2020-09-30,Casos activos,Colonia,18
2020-10-01,Casos activos,Colonia,19
2020-10-02,Casos activos,Colonia,20
2020-10-03,Casos activos,Colonia,24
2020-10-04,Casos activos,Colonia,30
2020-10-05,Casos activos,Colonia,29
2020-10-06,Casos activos,Colonia,32
2020-10-07,Casos activos,Colonia,35
2020-10-08,Casos activos,Colonia,29
2020-10-09,Casos activos,Colonia,33
2020-10-10,Casos activos,Colonia,33
2020-10-11,Casos activos,Colonia,33
2020-10-12,Casos activos,Colonia,30
2020-10-13,Casos activos,Colonia,32
2020-10-14,Casos activos,Colonia,35
2020-10-15,Casos activos,Colonia,36
2020-10-16,Casos activos,Colonia,34
2020-10-17,Casos activos,Colonia,35
2020-10-18,Casos activos,Colonia,34
2020-10-19,Casos activos,Colonia,30
2020-10-20,Casos activos,Colonia,30
2020-10-21,Casos activos,Colonia,30
2020-10-22,Casos activos,Colonia,25
2020-10-23,Casos activos,Colonia,16
2020-10-24,Casos activos,Colonia,12
2020-10-25,Casos activos,Colonia,10
2020-10-26,Casos activos,Colonia,7
2020-10-27,Casos activos,Colonia,6
2020-10-28,Casos activos,Colonia,2
2020-10-29,Casos activos,Colonia,2
2020-10-30,Casos activos,Colonia,2
2020-10-31,Casos activos,Colonia,1
2020-11-01,Casos activos,Colonia,0
2020-11-02,Casos activos,Colonia,1
2020-11-03,Casos activos,Colonia,1
2020-11-04,Casos activos,Colonia,0
2020-11-05,Casos activos,Colonia,0
2020-11-06,Casos activos,Colonia,3
2020-11-07,Casos activos,Colonia,6
2020-11-08,Casos activos,Colonia,12
2020-11-09,Casos activos,Colonia,12
2020-11-10,Casos activos,Colonia,16
2020-11-11,Casos activos,Colonia,23
2020-11-12,Casos activos,Colonia,28
2020-11-13,Casos activos,Colonia,36
2020-11-14,Casos activos,Colonia,41
2020-11-15,Casos activos,Colonia,41
2020-11-16,Casos activos,Colonia,41
2020-11-17,Casos activos,Colonia,48
2020-11-18,Casos activos,Colonia,51
2020-11-19,Casos activos,Colonia,52
2020-11-20,Casos activos,Colonia,45
2020-11-21,Casos activos,Colonia,49
2020-11-22,Casos activos,Colonia,45
2020-11-23,Casos activos,Colonia,40
2020-11-24,Casos activos,Col
